index,val
641,solar
642,solar
643,solar
644,solar
645,solar
646,solar
647,solar
648,solar
649,solar
650,solar
651,solar
652,solar
653,solar
654,wind
655,wind
656,wind
657,wind
658,solar
659,solar
660,solar
661,solar
662,solar
663,solar
664,solar
665,solar
666,solar
667,solar
668,solar
669,solar
670,solar
671,solar
672,solar
673,solar
674,solar
675,solar
676,water
677,water
678,water
679,solar
680,solar
681,solar
682,water
683,water
684,solar
685,solar
686,solar
687,solar
688,solar
689,solar
690,solar
691,solar
692,solar
693,wind
694,wind
695,wind
696,wind
697,wind
698,wind
699,wind
700,wind
701,wind
702,wind
703,solar
704,solar
705,solar
706,solar
707,solar
708,solar
709,solar
710,solar
711,solar
712,solar
713,solar
714,solar
715,solar
716,solar
717,solar
718,solar
719,solar
720,solar
721,solar
722,water
723,solar
724,solar
725,solar
726,water
727,water
728,solar
729,solar
730,solar
731,solar
732,water
733,water
734,water
735,solar
736,solar
737,solar
738,solar
739,solar
740,solar
741,solar
742,wind
743,wind
744,wind
745,wind
746,wind
747,solar
748,wind
749,wind
750,wind
751,wind
752,wind
753,wind
754,wind
755,wind
756,solar
757,solar
758,solar
759,solar
760,solar
761,solar
762,solar
763,solar
764,solar
765,solar
766,solar
767,solar
768,solar
769,solar
770,solar
771,solar
772,solar
773,solar
774,solar
775,solar
776,solar
777,water
778,solar
779,solar
780,solar
781,solar
782,water
783,solar
784,solar
785,solar
786,solar
787,water
788,water
789,solar
790,solar
791,solar
792,solar
793,solar
794,solar
795,solar
796,solar
797,wind
798,wind
799,wind
800,wind
801,wind
802,solar
803,solar
804,wind
805,wind
806,wind
807,wind
808,wind
809,wind
810,wind
811,wind
812,wind
813,wind
814,solar
815,solar
816,solar
817,solar
818,solar
819,solar
820,solar
821,solar
822,solar
823,solar
824,solar
825,solar
826,solar
827,solar
828,solar
829,solar
830,solar
831,solar
832,solar
833,solar
834,solar
835,solar
836,solar
837,solar
838,solar
839,solar
840,solar
841,solar
842,solar
843,solar
844,solar
845,solar
846,solar
847,solar
848,solar
849,solar
850,solar
851,solar
852,solar
853,solar
854,solar
855,solar
856,solar
857,wind
858,wind
859,wind
860,wind
861,wind
862,solar
863,solar
864,solar
865,wind
866,wind
867,wind
868,wind
869,wind
870,wind
871,wind
872,wind
873,wind
874,wind
875,solar
876,solar
877,solar
878,solar
879,solar
880,solar
881,solar
882,solar
883,solar
884,solar
885,solar
886,solar
887,solar
888,solar
889,solar
890,solar
891,solar
892,solar
893,solar
894,solar
895,solar
896,solar
897,solar
898,solar
899,solar
900,solar
901,solar
902,solar
903,solar
904,solar
905,solar
906,solar
907,solar
908,solar
909,solar
910,solar
911,solar
912,solar
913,solar
914,solar
915,solar
916,solar
917,solar
918,solar
919,solar
920,wind
921,wind
922,wind
923,wind
924,wind
925,solar
926,solar
927,solar
928,solar
929,wind
930,wind
931,wind
932,wind
933,wind
934,wind
935,wind
936,wind
937,wind
