USAF,CLASS,SOLAR,STATION,ST,NSRDB_LAT (dd),NSRDB_LON(dd),NSRDB_ELEV (m),TIME ZONE,ISH_LAT (dd),ISH_LON(dd),ISH_ELEV (m),20070316
722620,3,0,PINE SPRINGS GUADALUPE MOUNTA,TX,31.833,-104.817,1663,-7,31.833,-104.817,1663,
722630,1,0,SAN ANGELO MATHIS FIELD,TX,31.35,-100.5,584,-6,31.35,-100.5,584,
722636,2,0,DALHART MUNICIPAL AP,TX,36.017,-102.55,1216,-6,36.017,-102.55,1216,
722640,3,0,MARFA AP,TX,30.367,-104.017,1473,-6,30.367,-104.017,1473,
722648,3,0,ODESSA-SCHLEMEYER F,TX,31.917,-102.383,902,-6,31.917,-102.383,902,
722650,1,0,MIDLAND INTERNATIONAL AP,TX,31.95,-102.183,872,-6,31.95,-102.183,872,
722656,2,0,WINK WINKLER COUNTY AP,TX,31.783,-103.2,856,-6,31.783,-103.2,856,
722660,1,1,ABILENE REGIONAL AP [UT],TX,32.47,-99.71,530,-6,32.417,-99.683,546,
722666,3,0,BROWNWOOD MUNICIPAL,TX,31.8,-98.95,422,-6,31.8,-98.95,422,
722670,1,0,LUBBOCK INTERNATIONAL AP,TX,33.667,-101.817,992,-6,33.667,-101.817,992,
722673,3,0,SHERMAN-DENISON,TX,33.717,-96.667,228,-6,33.717,-96.667,228,
722675,3,0,REESE AFB,TX,33.6,-102.05,1014,-6,33.6,-102.05,1014,
722700,1,1,EL PASO INTERNATIONAL AP [UT],TX,31.77,-106.5,1186,-7,31.817,-106.383,1194,
723510,2,0,WICHITA FALLS MUNICIPAL ARPT,TX,33.983,-98.5,314,-6,33.983,-98.5,314,
723604,2,0,CHILDRESS MUNICIPAL AP,TX,34.433,-100.283,595,-6,34.433,-100.283,595,
723630,2,1,AMARILLO INTERNATIONAL AP [CANYON - UT],TX,34.99,-101.9,1068,-6,35.217,-101.7,1093,
723635,3,0,BORGER/HUTCHINSON,TX,35.7,-101.4,931,-6,35.7,-101.4,931,
747400,3,0,JUNCTION KIMBLE COUNTY AP,TX,30.517,-99.767,533,-6,30.517,-99.767,533,
