Site Number,Latitude,Longitude,Gage Height (m),Discharge (m^3/s)
08066191,30.63214193,-95.0199355,7375,7698
08066200,30.716306,-94.9588237,6998,21097
08066250,30.57214544,-94.9488223,11511,16500
08066300,30.48138889,-94.7797222,11398,20163
08066500,30.4252067,-94.8507622,11741,35341
08067000,30.05771539,-94.8182567,6531,10966
08067070,29.96132898,-94.8102003,7408,14560
08067071,29.95027778,-94.8433333,8417,981
08067074,29.80674444,-95.0323972,11605,3059
08067100,29.9418847,-94.774366,6673,3263
08067118,29.86744193,-94.7149197,7416,9057
08067215,29.90160798,-94.7699213,4447,4012
08067252,29.8124434,-94.7313087,10321,8915
08067500,29.97271914,-94.9857602,2077,14372
08067525,29.77078197,-94.9996503,1398,5237
08067548,30.6460298,-95.675224,4870,4154
08067600,30.358541,-95.5610542,11419,7814
08067610,30.35659665,-95.5604986,10263,5111
08067650,30.34215289,-95.542998,11795,8223
08067700,30.35381805,-95.8099498,12046,913
08067900,30.25377778,-95.579,540,732
08067920,30.25775,-95.5636944,10753,2030
08068000,30.24465738,-95.4571616,9906,2541
08068090,30.14116667,-95.3382222,4,11237
08068275,30.11993899,-95.6460559,1741,4917
08068325,30.10549526,-95.5466084,9719,5246
08068390,30.19055556,-95.4911111,1206,7920
08068400,30.192159,-95.4838288,6813,6029
08068450,30.1343832,-95.4777175,2927,9329
08068500,30.11049517,-95.4363275,11894,7154
08068700,29.92105823,-95.840229,4493,7603
08068720,29.9502237,-95.8082835,7396,16435
08068740,29.959112,-95.7177249,11635,16578
08068780,30.01605437,-95.6974463,1,12207
08068800,29.97355566,-95.5985545,11924,10737
08068900,30.00660994,-95.511885,365,731
08069000,30.0357753,-95.428827,6282,27981
08069500,30.02716385,-95.2579888,5477,3890
08069800,30.56694444,-95.1913889,335,1
08070000,30.33659809,-95.1040999,1805,29865
08070200,30.14523056,-95.1246139,7446,7230
08070500,30.25965789,-95.3024361,10722,28158
08071000,30.2327137,-95.1682662,2,20376
08071280,30.10966019,-95.0599294,2382,13451
08071500,29.99466384,-95.1335413,2301,6208
08072000,29.91633316,-95.1413198,3899,7815
08072050,29.87633426,-95.0938189,2324,8767
08072300,29.74328664,-95.8068951,1420,14091
08072350,29.7230092,-95.7671718,1691,4374
08072500,29.76995129,-95.6471682,11989,7462
08072600,29.76938056,-95.6431667,38085,3723
08072680,29.8051111,-95.7096111,3748,1930
08072700,29.80106159,-95.692447,4826,725
08072730,29.8307828,-95.6868912,8693,15074
08072760,29.86717035,-95.646612,1339,8191
08072800,29.8357824,-95.6257783,413,10243
08073000,29.79133939,-95.6235563,10,5536
08073100,29.79027778,-95.6238889,11483,2775
08073500,29.7618958,-95.6057782,11771,26347
08073600,29.76217336,-95.5577213,7366,17948
08073700,29.7468959,-95.5235538,5883,13900
08073898,29.78333333,-95.4738889,11,14
08074000,29.76022829,-95.4085505,10519,4543
08074020,29.87078073,-95.4804961,8005,7793
08074150,29.8513369,-95.4879965,10598,8204
08074250,29.82800424,-95.469385,10565,6256
08074500,29.77522777,-95.3971612,7745,30940
08074540,29.79277778,-95.3680556,10551,10
08074598,29.76661676,-95.358549,8603,1904
08074600,29.7652279,-95.3591046,820,362
08074610,29.76606119,-95.35216,2247,248
08074710,29.74939477,-95.2910473,2252,6966
08074760,29.7091197,-95.583,8,5258
08074800,29.65662136,-95.5621664,9,6257
08074810,29.6727317,-95.5282765,7982,7084
08075000,29.69717469,-95.412162,13,30956
08075110,29.71416667,-95.3388889,7543,2
08075400,29.61884399,-95.4460522,2666,18529
08075500,29.67439687,-95.2893807,7604,1274
08075605,29.65661915,-95.2291011,7816,5170
08075650,29.67661875,-95.2438238,4702,2911
08075730,29.69467363,-95.216323,8113,17902
08075763,29.80883745,-95.3132696,1753,5241
08075770,29.79328217,-95.2679907,11,20751
08075780,29.94911178,-95.5196633,8247,109
08075900,29.95688886,-95.4179936,1325,14990
08076000,29.9182784,-95.3068796,7955,24970
08076005,29.93055556,-95.2875,6840,10
08076180,29.93386089,-95.2339608,1610,10212
08076500,29.86189143,-95.3349365,7009,22407
08076700,29.8371695,-95.2332671,13734,1886
08076997,29.5968991,-95.2974366,27860,5238
08077000,29.59745458,-95.2866029,7396,15958
08077600,29.51745517,-95.178544,1705,8156
08077637,29.5543963,-95.0257616,7229,3602
08077658,29.35745688,-94.9249228,22715,8930
08077752,29.34079066,-94.9502012,19552,4820
08078000,29.37154349,-95.3230476,7306,22618
08078930,29.374525,-95.5272861,8605,4
08079000,29.15857735,-95.4757753,7264,13148
08079005,29.12537778,-95.4813722,41467,11
08079500,33.5856408,-101.8282217,620,3647
08079510,33.55477778,-101.7881389,32471,1585
08079575,33.24870448,-101.3384715,5874,3653
08079600,33.03843236,-101.1976302,1901,21620
08079700,33.0628761,-101.0476268,10630,1451
08080000,32.9303804,-100.4881658,10464,648
08080500,33.0081577,-100.1806589,10092,33679
08080505,33.18791667,-99.9601361,6830,2823
08080540,33.3509239,-101.227084,2559,4746
08080700,34.17896048,-101.7026748,6706,19596
08080910,33.45786654,-101.084028,7096,729
08080950,33.35620109,-100.705121,364,9130
08081000,33.2120385,-100.431778,1942,8671
08081200,33.288425,-100.4315008,7169,9891
08081500,33.40092169,-100.4084454,8489,7675
08082000,33.3339801,-100.2381622,3518,30364
08082100,33.23342759,-100.2134389,7704,6580
08082180,33.38314796,-100.0812116,3578,7675
08082450,33.34518889,-99.6663889,7104,1453
08082500,33.58092766,-99.2675756,7938,35496
08082700,33.32926607,-99.4650825,38414,21004
08082800,33.4089865,-99.3889688,7355,968
08083000,33.08205929,-98.7270062,8308,1491
08083100,32.78760777,-100.3887183,28962,21528
08083200,32.43873165,-100.3037135,1916,843
08083230,32.67455998,-100.0725999,7305,6959
08083235,32.66191944,-99.9761861,92,483
08083240,32.5985,-99.8145556,6361,9567
08083245,32.5678991,-99.7925909,4566,7964
08083270,32.2345761,-99.8889795,4994,760
08083300,32.35235006,-99.8078673,7031,5846
08083400,32.39151513,-99.852591,8068,5843
08083420,32.47540219,-99.7492556,8005,10472
08083460,32.38553056,-99.7317639,6766,3338
08083470,32.4490142,-99.7206435,3050,5123
08083480,32.4866111,-99.7145556,10356,7130
08083500,32.59623238,-99.6806436,8025,7577
08084000,32.6901186,-99.6695326,8380,35347
08084200,32.795,-99.6056944,8721,3722
08084500,33.06260684,-99.5795306,7895,7322
08084800,32.93094435,-99.642588,1760,21254
08085000,33.07760645,-99.5436962,7974,637
08085500,32.93297778,-99.2153889,2,35374
08086000,32.9001181,-98.8336765,3,2410
08086015,32.60178915,-99.2392428,11591,1095
08086050,32.55929085,-99.170074,3,11473
08086100,32.6892871,-99.1647969,2,4999
08086120,32.68373104,-99.2684108,3,1826
08086150,32.7076192,-99.2750778,15536,10195
08086200,32.7006753,-99.2120205,8551,601
08086210,32.72095279,-99.175353,11282,1095
08086212,32.73289717,-99.1406299,8562,9119
08086215,32.43790666,-98.9856233,8058,844
08086235,32.5529025,-99.109239,6289,730
08086260,32.58373549,-99.0328482,1880,3296
08086290,32.64845613,-99.0045146,1899,7981
08086400,32.8315068,-98.9678474,8686,1464
08086500,32.8370625,-98.9481246,1893,11475
08086600,32.64790203,-98.8695105,2303,849
08087300,32.96068333,-98.7667694,2398,18387
08088000,33.02428377,-98.6439481,1331,28642
08088100,33.37038526,-98.7447837,1330,7098
08088200,33.21677844,-98.6489482,44872,883
08088300,33.21205664,-98.6186695,1837,11475
08088400,33.13455878,-98.6136694,1882,730
08088435,32.93595414,-98.4286639,3159,5519
08088440,32.88873255,-98.5242223,1880,5441
08088450,32.8276216,-98.7239509,486,9069
08088500,32.87234474,-98.425886,4692,3654
08088600,32.87206697,-98.425886,8351,6938
08088610,32.85817854,-98.411719,15241,11035
08089000,32.8626236,-98.3025492,1162,35019
08089200,32.88253889,-98.2032972,8701,546
08090300,32.64762919,-98.2692139,490,730
08090500,32.630964,-98.1808781,2630,9648
08090700,32.81679434,-98.0419872,6268,730
08090800,32.61568907,-97.9258703,8669,18210
08090880,32.477082,-97.7883632,3284,5566
08090885,32.4329162,-97.7891965,10090,5592
08090900,32.3743072,-97.6891931,2328,5089
08090905,32.38638889,-97.6522222,1833,2643
08091000,32.25903188,-97.7025268,7477,35493
08091500,32.23153166,-97.7772512,1857,27403
08091730,32.30014116,-97.786974,8542,730
08091750,32.2701423,-97.7325278,566,10592
08091900,32.28903445,-97.4152954,707,730
08092000,32.15070534,-97.402794,22162,19877
08092500,31.86543568,-97.3719578,8091,1809
08092600,31.86682458,-97.3669576,6456,1460
08093100,31.8123822,-97.2977882,8129,30074
08093250,32.00571108,-97.1500069,8639,4749
08093350,31.89988054,-97.2027856,7071,730
08093360,31.8954362,-97.2030634,8282,11434
08093400,31.91987996,-97.0994485,8661,4686
08093500,31.84460414,-97.2013961,8339,22790
08093700,32.2156959,-98.1989298,8455,7883
08094500,32.074033,-98.2297629,5379,5600
08094800,31.9765366,-98.032812,5881,7781
08095000,31.785991,-97.5680748,8948,35547
08095200,31.66960575,-97.4694602,8093,21848
08095300,31.50933179,-97.365845,8832,14461
08095400,31.5557199,-97.3564004,8846,14408
08095500,31.5168325,-97.2502856,8723,2131
08095550,31.57960968,-97.1977832,8742,1254
08095600,31.60127597,-97.1936165,7982,8156
08096490,31.56127728,-97.1286132,10922,1349
08096500,31.53600056,-97.0733325,7926,44728
08096580,31.53588889,-97.0325417,7877,411
08097000,31.31267377,-97.1380545,8397,6322
08097500,31.28850993,-96.969713,4867,4747
08098000,31.26628755,-97.0586055,10908,913
08098290,31.13407098,-96.8249826,1,20208
08098300,31.02657314,-96.9883214,5000,14112
08098450,30.86508333,-96.6951667,5417,1339
08099000,32.36374406,-98.6756129,5142,844
08099100,32.1737502,-98.5331058,10922,14445
08099300,32.11402957,-98.6056067,10921,17321
08099382,32.04902778,-98.6460556,6606,2077
08099400,31.96875636,-98.4861568,10858,5482
08099500,31.9579235,-98.4592116,5375,24219
08100000,31.78876325,-98.1214238,97,20542
08100500,31.4347222,-97.7583333,2354,25720
08100630,31.323225,-97.7576639,2485,1419
08101000,31.2848902,-97.8850244,34034,25720
08101200,31.24878889,-97.8378472,6805,1044
08101300,31.21499444,-97.7941944,5822,1415
08101310,31.16493889,-97.8781944,1699,1462
08101330,31.12927778,-97.8181389,9228,1088
08101340,31.18553056,-97.8087167,1862,1424
08101500,31.20600559,-97.7155746,5743,1529
08102000,31.10628916,-97.4747322,34411,7415
08102500,31.07017947,-97.4413967,2717,35618
